bateria_utilizada;aeronave_utilizada;Ano;distancia_percorrida
A - MAVIC;Mavic;2021;9024
A - MAVIC;Mavic;2022;6081
A - PHANTOM;Phantom 4;2021;15064
A - PHANTOM;Phantom 4;2022;9118
B - MAVIC;Mavic;2021;6031
B - MAVIC;Mavic;2022;6125
B - PHANTOM;Phantom 4;2021;12074
B - PHANTOM;Phantom 4;2022;3039
C - MAVIC;Mavic;2021;6038
C - MAVIC;Mavic;2022;6079
D - MAVIC;Mavic;2021;3015
D - MAVIC;Mavic;2022;12170
E1 + E2;Matrice;2021;12037
E1 + E2;Matrice;2022;9119
F1 + F2;Matrice;2021;9033
F1 + F2;Matrice;2022;9134
G1 + G2;Matrice;2021;9046
G1 + G2;Matrice;2022;9084
H1 + H2;Matrice;2021;12072
H1 + H2;Matrice;2022;9050
